NAMES                      STATUS          PORTS
minikube                   Up 8 minutes    127.0.0.1:32778->22/tcp, 127.0.0.1:32779->2376/tcp, 127.0.0.1:32780->5000/tcp, 127.0.0.1:32781->8443/tcp, 127.0.0.1:32782->32443/tcp
task3-apollo-gateway-1     Up 33 minutes   0.0.0.0:4000->4000/tcp, [::]:4000->4000/tcp
task3-booking-subgraph-1   Up 33 minutes   0.0.0.0:4001->4001/tcp, [::]:4001->4001/tcp
task3-hotel-subgraph-1     Up 33 minutes   0.0.0.0:4002->4002/tcp, [::]:4002->4002/tcp
booking-service            Up 38 minutes   0.0.0.0:9090->9090/tcp, [::]:9090->9090/tcp
booking-history-service    Up 40 minutes   
hotelio-monolith           Up 40 minutes   0.0.0.0:8084->8080/tcp, [::]:8084->8080/tcp
hotelio-kafka              Up 40 minutes   0.0.0.0:9092->9092/tcp, [::]:9092->9092/tcp
booking-history-db         Up 40 minutes   0.0.0.0:5434->5432/tcp, [::]:5434->5432/tcp
hotelio-db                 Up 40 minutes   0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp
booking-db                 Up 40 minutes   0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp
hotelio-zookeeper          Up 40 minutes   2888/tcp, 0.0.0.0:2181->2181/tcp, [::]:2181->2181/tcp, 3888/tcp
